Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
01/04/2011,12376.72,1341.45,106.14,1.0209
04/04/2011,12400.03,1345.62,106,1.0231
05/04/2011,12393.9,1343.64,105.7,1.0163
06/04/2011,12426.75,1348.86,105.51,1.0119
07/04/2011,12409.49,1345.2,105.33,1.009
08/04/2011,12380.05,1351.43,105.56,1.0101
11/04/2011,12381.11,1348.65,105.25,1.0108
12/04/2011,12263.58,1333.85,105.93,1.011
13/04/2011,12270.99,1338.75,106.3,1.0131
14/04/2011,12285.15,1336.54,105.91,1.0145
15/04/2011,12341.83,1338.04,106.21,1.0162
18/04/2011,12201.59,1316.91,106.59,1.0158
19/04/2011,12266.75,1324.45,106,1.0148
20/04/2011,12453.54,1350.22,106.78,1.0186
21/04/2011,12505.99,1360.95,106.41,1.0187
22/04/2011,12505.99,1361.03,106.41,1.0187
25/04/2011,12479.88,1357.5,106.41,1.0187
26/04/2011,12595.37,1366.69,106.8,1.017
27/04/2011,12690.96,1371.38,107.43,1.018
28/04/2011,12763.31,1384.94,107.43,1.018
29/04/2011,12810.54,1388.62,107.43,1.018
02/05/2011,12807.36,1391.86,107.43,1.018
03/05/2011,12807.51,1382.99,108.87,1.0308
04/05/2011,12723.58,1371.36,108.75,1.0296
05/05/2011,12584.17,1355.45,108.57,1.031
06/05/2011,12638.74,1359.27,108.91,1.028
09/05/2011,12684.68,1353.77,109.81,1.0292
10/05/2011,12760.36,1366.36,110.74,1.0316
11/05/2011,12630.03,1357.35,110.69,1.0324
12/05/2011,12695.92,1351.14,111.25,1.0302
13/05/2011,12595.75,1343.17,112.68,1.041
16/05/2011,12548.37,1336.65,112.28,1.0351
17/05/2011,12479.58,1329.33,111.65,1.0286
18/05/2011,12560.18,1341.98,112.17,1.0353
19/05/2011,12605.32,1345.73,112.74,1.0339
20/05/2011,12512.04,1336.65,112.91,1.0351
23/05/2011,12381.26,1313.69,112.47,1.0278
24/05/2011,12356.21,1315.76,111.98,1.0215
25/05/2011,12394.66,1320.26,111.29,1.0159
26/05/2011,12402.76,1326.96,111,1.0188
27/05/2011,12441.58,1338.47,111.04,1.0219
30/05/2011,12441.58,1338.29,111.04,1.0219
31/05/2011,12569.79,1354.61,111.61,1.0238
01/06/2011,12290.14,1335.59,112.78,1.0314
02/06/2011,12248.55,1325.36,112.03,1.0281
03/06/2011,12151.26,1320.11,111.47,1.0284
06/06/2011,12089.96,1309.78,110.31,1.0284
07/06/2011,12070.81,1311.9,109.94,1.0164
08/06/2011,12048.94,1301.84,109.71,1.0129
09/06/2011,12124.36,1307.93,109.04,1.0067
10/06/2011,11951.91,1288.49,110.1,1.0154
13/06/2011,11952.97,1288.49,108.9,1.0052
14/06/2011,12076.11,1305.84,108.67,1.0038
15/06/2011,11897.27,1283.97,109.96,1.01
16/06/2011,11961.52,1273.56,108.67,0.9999
17/06/2011,12004.36,1280.58,109.1,0.9999
20/06/2011,12080.38,1281.55,109.39,1.0026
21/06/2011,12190.01,1301.77,110.06,1.0085
22/06/2011,12109.67,1299.53,110.61,1.0157
23/06/2011,12050,1281.57,110.69,1.0146
24/06/2011,11934.58,1275.45,110.49,1.0133
