Date,LINTGEB ID Equity,IPCBDYA LN Equity,JOHUOYA LN Equity,BAREBIN LN Equity,LIOSSFI LN Equity,FSMEQIA LN Equity,JPMEMBA LN Equity,FSAPLBA LN Equity,FSGEMBA LN Equity,MNKS LN Equity,ATT LN Equity,LINTGED ID Equity
22/04/2010,#N/A N/A,#N/A N/A,0.8046,#N/A N/A,#N/A N/A,#N/A N/A,196.1,324.67,318.72,312.2,295,#N/A N/A
23/04/2010,#N/A N/A,#N/A N/A,0.808,#N/A N/A,#N/A N/A,#N/A N/A,196.2,323.99,319.84,316.1,297.5,#N/A N/A
26/04/2010,#N/A N/A,#N/A N/A,0.8123,#N/A N/A,#N/A N/A,#N/A N/A,197.8,325.58,322.78,317.5,298,#N/A N/A
27/04/2010,#N/A N/A,#N/A N/A,0.8063,#N/A N/A,#N/A N/A,#N/A N/A,197.6,326.79,323.34,310,298.5,#N/A N/A
28/04/2010,#N/A N/A,#N/A N/A,0.7928,#N/A N/A,#N/A N/A,#N/A N/A,194.8,326.1,321.58,310,297,#N/A N/A
29/04/2010,#N/A N/A,#N/A N/A,0.7969,#N/A N/A,#N/A N/A,#N/A N/A,194.5,323.65,320.92,310.8,297,#N/A N/A
30/04/2010,#N/A N/A,#N/A N/A,0.7948,#N/A N/A,#N/A N/A,#N/A N/A,197.1,322.23,321.92,313,297,#N/A N/A
03/05/2010,#N/A N/A,#N/A N/A,0.7948,#N/A N/A,#N/A N/A,#N/A N/A,197.1,322.23,321.92,313,297,#N/A N/A
04/05/2010,#N/A N/A,#N/A N/A,0.7955,#N/A N/A,#N/A N/A,#N/A N/A,195.3,319.96,322.96,306,296.5,#N/A N/A
05/05/2010,#N/A N/A,#N/A N/A,0.7858,#N/A N/A,#N/A N/A,#N/A N/A,189.3,316.63,316.31,300.4,294.5,#N/A N/A
06/05/2010,#N/A N/A,#N/A N/A,0.7836,#N/A N/A,#N/A N/A,#N/A N/A,187.4,313.63,312.46,300,289,#N/A N/A
07/05/2010,#N/A N/A,#N/A N/A,0.7609,#N/A N/A,#N/A N/A,#N/A N/A,185.8,316.93,314.21,287.6,279,#N/A N/A
10/05/2010,#N/A N/A,#N/A N/A,0.7698,#N/A N/A,#N/A N/A,#N/A N/A,189.1,316.48,312.57,303.6,283.5,#N/A N/A
11/05/2010,#N/A N/A,#N/A N/A,0.7667,#N/A N/A,#N/A N/A,#N/A N/A,192.1,320.96,318.36,305,282,#N/A N/A
12/05/2010,#N/A N/A,#N/A N/A,0.7764,#N/A N/A,#N/A N/A,#N/A N/A,190.5,319.42,316.99,307.5,283,#N/A N/A
13/05/2010,#N/A N/A,#N/A N/A,0.7854,#N/A N/A,#N/A N/A,#N/A N/A,194.7,325.97,323.51,314,287,#N/A N/A
14/05/2010,#N/A N/A,#N/A N/A,0.778,#N/A N/A,#N/A N/A,#N/A N/A,195.2,328.64,326.01,305.6,287,#N/A N/A
17/05/2010,#N/A N/A,#N/A N/A,0.7715,#N/A N/A,#N/A N/A,#N/A N/A,191.9,325.28,322.42,304.3,287,#N/A N/A
18/05/2010,#N/A N/A,#N/A N/A,0.7736,#N/A N/A,#N/A N/A,#N/A N/A,192.2,324.36,321.16,308.7,287,#N/A N/A
19/05/2010,#N/A N/A,#N/A N/A,0.7621,#N/A N/A,#N/A N/A,#N/A N/A,188.4,319.58,316.88,298.1,287,#N/A N/A
20/05/2010,#N/A N/A,#N/A N/A,0.7557,#N/A N/A,#N/A N/A,#N/A N/A,185.3,312.99,311.86,291.5,284,#N/A N/A
21/05/2010,#N/A N/A,#N/A N/A,0.7397,#N/A N/A,#N/A N/A,#N/A N/A,177.7,309.53,306.31,287.5,281.5,#N/A N/A
24/05/2010,#N/A N/A,#N/A N/A,0.7411,#N/A N/A,#N/A N/A,#N/A N/A,182.7,308.77,306.58,287.2,282.5,#N/A N/A
25/05/2010,#N/A N/A,#N/A N/A,0.7318,#N/A N/A,#N/A N/A,#N/A N/A,176,300.53,300.28,284,279.5,#N/A N/A
26/05/2010,#N/A N/A,#N/A N/A,0.7366,#N/A N/A,#N/A N/A,#N/A N/A,180,303.76,304.21,285,282.5,#N/A N/A
27/05/2010,#N/A N/A,#N/A N/A,0.7414,#N/A N/A,#N/A N/A,#N/A N/A,183.8,304.81,305.35,293.9,283,#N/A N/A
28/05/2010,#N/A N/A,#N/A N/A,0.7587,#N/A N/A,#N/A N/A,#N/A N/A,188,309.11,309.52,289,283.5,#N/A N/A
31/05/2010,#N/A N/A,#N/A N/A,0.7587,#N/A N/A,#N/A N/A,#N/A N/A,188,309.11,309.52,289,283.5,#N/A N/A
01/06/2010,#N/A N/A,#N/A N/A,0.7479,#N/A N/A,#N/A N/A,#N/A N/A,184.5,307.99,307.6,290.7,283.5,#N/A N/A
02/06/2010,#N/A N/A,#N/A N/A,0.7569,#N/A N/A,#N/A N/A,#N/A N/A,182,305.04,305.91,291.9,282.5,#N/A N/A
03/06/2010,#N/A N/A,#N/A N/A,0.7707,#N/A N/A,#N/A N/A,#N/A N/A,186.7,311.99,311.26,297.5,287.5,#N/A N/A
04/06/2010,#N/A N/A,#N/A N/A,0.7697,#N/A N/A,#N/A N/A,#N/A N/A,186,312.2,310.76,289,288,#N/A N/A
07/06/2010,#N/A N/A,#N/A N/A,0.7562,#N/A N/A,#N/A N/A,#N/A N/A,182,305.45,305.88,285.1,287.5,#N/A N/A
08/06/2010,#N/A N/A,#N/A N/A,0.7479,#N/A N/A,#N/A N/A,#N/A N/A,181.9,307.6,306.73,284,286.5,#N/A N/A
09/06/2010,#N/A N/A,#N/A N/A,0.7502,#N/A N/A,#N/A N/A,#N/A N/A,182.5,307.24,305.19,289,286.5,#N/A N/A
10/06/2010,#N/A N/A,#N/A N/A,0.7603,#N/A N/A,#N/A N/A,#N/A N/A,182,307.84,305.52,291,285,#N/A N/A
11/06/2010,#N/A N/A,#N/A N/A,0.7666,#N/A N/A,#N/A N/A,#N/A N/A,185.6,311.28,310.5,292.5,285,#N/A N/A
14/06/2010,#N/A N/A,#N/A N/A,0.7693,#N/A N/A,#N/A N/A,#N/A N/A,186.9,314.11,313.13,293.7,285.5,#N/A N/A
15/06/2010,#N/A N/A,#N/A N/A,0.7781,#N/A N/A,#N/A N/A,#N/A N/A,187.3,314.06,313.59,294.2,285.5,#N/A N/A
16/06/2010,#N/A N/A,#N/A N/A,0.7797,#N/A N/A,#N/A N/A,#N/A N/A,189.3,314.71,315.05,295.1,287.75,#N/A N/A
17/06/2010,#N/A N/A,#N/A N/A,0.7827,#N/A N/A,#N/A N/A,#N/A N/A,191,315.45,316.87,294.3,287.75,#N/A N/A
18/06/2010,#N/A N/A,#N/A N/A,0.7804,#N/A N/A,#N/A N/A,#N/A N/A,191.3,317.43,319.01,299.8,288,#N/A N/A
21/06/2010,#N/A N/A,#N/A N/A,0.7827,#N/A N/A,#N/A N/A,#N/A N/A,194.4,324.58,324.1,302.5,289,#N/A N/A
22/06/2010,#N/A N/A,#N/A N/A,0.7724,#N/A N/A,#N/A N/A,#N/A N/A,194.7,323.63,323.24,296.5,288,#N/A N/A
23/06/2010,#N/A N/A,#N/A N/A,0.7736,#N/A N/A,#N/A N/A,#N/A N/A,190.9,319.36,318.63,292.6,286.5,#N/A N/A
24/06/2010,#N/A N/A,#N/A N/A,0.7661,#N/A N/A,#N/A N/A,#N/A N/A,189.3,316.74,315.04,289.3,285,#N/A N/A
25/06/2010,#N/A N/A,#N/A N/A,0.7638,#N/A N/A,#N/A N/A,#N/A N/A,187.9,316.02,313.65,288,283.5,#N/A N/A
28/06/2010,#N/A N/A,#N/A N/A,0.7611,#N/A N/A,#N/A N/A,#N/A N/A,187.6,315.43,314.15,290,283.5,#N/A N/A
29/06/2010,#N/A N/A,#N/A N/A,0.7532,#N/A N/A,#N/A N/A,#N/A N/A,184.9,309.95,310.32,285.6,281,#N/A N/A
30/06/2010,#N/A N/A,#N/A N/A,0.7501,#N/A N/A,#N/A N/A,#N/A N/A,182,309.13,309.12,286,281,#N/A N/A
01/07/2010,#N/A N/A,#N/A N/A,0.7448,#N/A N/A,#N/A N/A,#N/A N/A,180.3,308.32,308.48,275.5,275,#N/A N/A
02/07/2010,#N/A N/A,#N/A N/A,0.7409,#N/A N/A,#N/A N/A,#N/A N/A,177,304.07,303.71,277.9,274.25,#N/A N/A
05/07/2010,#N/A N/A,#N/A N/A,0.7426,#N/A N/A,#N/A N/A,#N/A N/A,178.6,305.89,306.78,276,274,#N/A N/A
06/07/2010,#N/A N/A,#N/A N/A,0.7503,#N/A N/A,#N/A N/A,#N/A N/A,179.5,307.14,308.7,281.2,273.5,#N/A N/A
07/07/2010,#N/A N/A,#N/A N/A,0.7514,#N/A N/A,#N/A N/A,#N/A N/A,180.3,306.45,309.88,283,272.25,#N/A N/A
08/07/2010,#N/A N/A,#N/A N/A,0.7634,#N/A N/A,#N/A N/A,#N/A N/A,183.4,312.12,314.33,287.4,272.5,#N/A N/A
09/07/2010,#N/A N/A,#N/A N/A,0.7656,#N/A N/A,#N/A N/A,#N/A N/A,185.6,315.06,315.81,287.5,271.5,#N/A N/A
12/07/2010,#N/A N/A,#N/A N/A,0.7688,#N/A N/A,#N/A N/A,#N/A N/A,188.5,318.92,318.75,289,272.5,#N/A N/A
13/07/2010,#N/A N/A,#N/A N/A,0.7821,#N/A N/A,#N/A N/A,#N/A N/A,188.3,317.3,317.78,291.5,273,#N/A N/A
14/07/2010,#N/A N/A,#N/A N/A,0.7837,#N/A N/A,#N/A N/A,#N/A N/A,187.8,316.15,317.27,288.5,277,#N/A N/A
15/07/2010,#N/A N/A,#N/A N/A,0.787,#N/A N/A,#N/A N/A,#N/A N/A,186.5,313.25,315.65,285.5,274.5,#N/A N/A
16/07/2010,#N/A N/A,#N/A N/A,0.7892,#N/A N/A,#N/A N/A,#N/A N/A,185.2,311.92,315.57,283.9,274.5,#N/A N/A
19/07/2010,#N/A N/A,#N/A N/A,0.7818,#N/A N/A,#N/A N/A,#N/A N/A,183.6,310.59,314.43,282,274.5,#N/A N/A
20/07/2010,#N/A N/A,#N/A N/A,0.7703,#N/A N/A,#N/A N/A,#N/A N/A,185.5,314.81,316.84,282.9,274.5,#N/A N/A
