Ticker,Security Name
VZ US Equity,Verizon Communications Inc
INDU Index,Dow Jones Industrial Average
EAT LN Equity,European Assets Trust NV
NKY Index,Nikkei 225
CMHY LN Equity,City Merchants High Yield Trus
LINTGEB ID Equity,Lindsell Train Global Equity F
HVPE LN Equity,HarbourVest Global Private Equ
JLEN LN Equity,John Laing Environmental Asset
TRIG LN Equity,Renewables Infrastructure Grou
FCPT LN Equity,F&C Commercial Property Trust
GVP LN Equity,Gabelli Value Plus + Trust PLC
FPCEIRA LN Equity,FP Crux European Special Situa
THUPINA LN Equity,Threadneedle UK Property Autho
CFWEIZA LN Equity,Link Financial - LF Woodford E
SMT LN Equity,Scottish Mortgage Investment T
JUSC LN Equity,JPMorgan US Smaller Companies
BRPJETH LN Equity,iShares Pacific ex Japan Equit
IPTBDXA LN Equity,Invesco Perpetual Tactical Bon
IPGTRYA LN Equity,Invesco Perpetual Global Targe
IPCBDYI LN Equity,INVESCO Perpetual Corporate Bo
IPCBDYA LN Equity,Invesco Perpetual Fixed Intere
VOD LN Equity,Vodafone Group PLC
BBOX LN Equity,Tritax Big Box REIT PLC
HDIV LN Equity,Henderson Diversified Income T
LSELIAG LN Equity,Loomis Sayles U.S. Equity Lead
JOHUOYA LN Equity,J O Hambro Capital Management
FTAW01 Index,FTSE All World Index
LIUSCIA LN Equity,Liontrust UK Smaller Companies
MARUKMP LN Equity,Marlborough UK Micro-Cap Growt
THESZNA LN Equity,Threadneedle Investment Funds
HSBAMCA LN Equity,HSBC Index Tracker Investment
BAREBIN LN Equity,Barings UK Unit Trust Funds -
RATGOIA LN Equity,Rathbone Global Opportunities
BWDUKEI LN Equity,Franklin UK Equity Income Fund
DIVI LN Equity,Diverse Income Trust PLC/ The
FCSS LN Equity,Fidelity China Special Situati
JEMI LN Equity,JPMorgan Global Emerging Marke
LIOSSFI LN Equity,Liontrust Special Situations F
HENEFIA LN Equity,Janus Henderson European Focus
JUPEUII LN Equity,Jupiter European Fund
MARMCAI LN Equity,Marlborough Multi Cap Income F
FSMEQIA LN Equity,Fundsmith Equity Fund
BRFI LN Equity,BlackRock Frontiers Investment
CUKDY1G LN Equity,Schroder Absolute UK Dynamic F
JPMEMBA LN Equity,JPMorgan Fund ICVC - Emerging
OMUSSAA LN Equity,Old Mutual Investment Funds Se
MGOIXAC LN Equity,M&G Optimal Income Fund
LTUKEQA LN Equity,LF Lindsell Train UK Equity Fu
HICL LN Equity,HICL Infrastructure Co Ltd/Fun
SOI LN Equity,Schroder Oriental Income Fund
SGJPNCA LN Equity,Man International ICVC - Japan
SLI LN Equity,Standard Life Investment Prope
FSAPLBA LN Equity,First State Investments ICVC-
FSGEMBA LN Equity,FS Investments ICVC- Stewart I
FSAPLAA LN Equity,First State Investments ICVC-
FSGEMAA LN Equity,FS Investments ICVC- Stewart I
MGSCBXA LN Equity,M&G Strategic Corporate Bond F
INVINCI LN Equity,Invesco Perpetual UK Investmen
